model_name,audio_path,reference,hypothesis,reference_norm,hypothesis_norm,latency_sec,audio_duration_sec,error
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/66/21ed9378b277.wav,знаете что,знаете что,знаете что,знаете что,0.6907268749782816,0.71,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/15/d909fcdb7478.wav,ну вот она просто уже выпила такая вся ну не в себе,ну вот она просто уже выпила такая вся ну не в себе,ну вот она просто уже выпила такая вся ну не в себе,ну вот она просто уже выпила такая вся ну не в себе,0.7920043750200421,4.52,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/ce/c890f7d98194.wav,блин ты научись разговаривать сначала а,блин ты научись разговаривать сначала а,блин ты научись разговаривать сначала а,блин ты научись разговаривать сначала а,0.7490336250048131,2.57,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/49/ae1721e60625.wav,сейчас в милицию позвоню честное слово,сейчас в милицию позвоню честное слово,сейчас в милицию позвоню честное слово,сейчас в милицию позвоню честное слово,0.7512417079997249,2.66,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/f6/33c0cce9bdcb.wav,государство ещё и доплачивает им как я понимаю,государство еще и доплачивает им как я понимаю,государство еще и доплачивает им как я понимаю,государство еще и доплачивает им как я понимаю,0.7204901659861207,2.21,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/6/29/afee45604a0d.wav,это начальнику вашего отделения,это начальнику вашего отделения,это начальнику вашего отделения,это начальнику вашего отделения,0.7227393329958431,2.25,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/d/6e/6063bf70875a.wav,поезд москва тында тында москва,поезд москва тында тына москва,поезд москва тында тында москва,поезд москва тында тына москва,0.7445430000079796,2.8,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/4/f3/1dcd172592df.wav,ответят вам щас щас я вас соединю щас,ответьте там сейчас я вас соединю в час,ответят вам щас щас я вас соединю щас,ответьте там сейчас я вас соединю в час,0.7192384169902653,2.11,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/45/cd86c6bc3f93.wav,ну записал ты там,ну записал ты там,ну записал ты там,ну записал ты там,0.6923591250088066,1.1,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/62/6c26f1edcaaa.wav,неет дом колотушкина,нет дом калатушкина,неет дом колотушкина,нет дом калатушкина,0.7127911669958849,1.94,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/85/81c5b7f96cf9.wav,сорок два девяносто шесть сорок шесть,сорок два девяносто шесть сорок шесть,сорок два девяносто шесть сорок шесть,сорок два девяносто шесть сорок шесть,0.7003504169988446,1.65,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/d7/b0c497837e19.wav,я никогда срывайся прерывайся ещё,я ничего срываюсь прерываюсь,я никогда срывайся прерывайся еще,я ничего срываюсь прерываюсь,0.716280166991055,2.35,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/31/b88550fb606a.wav,твоего сына да что ль,своего сына,твоего сына да что ль,своего сына,0.6853136669960804,1.18,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/13/6337a810ef6a.wav,паровозик тыр,паровозик тыр,паровозик тыр,паровозик тыр,0.7043152920086868,1.85,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/27/de63e0d12634.wav,вот это является потом ориентиром,вот это является моим ориентиром,вот это является потом ориентиром,вот это является моим ориентиром,0.7141940419969615,2.19,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/7b/84ff1f6190aa.wav,ладно пока,ладно пока,ладно пока,ладно пока,0.6830029999837279,0.69,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/a6/653e7706acbe.wav,ксения ну вот правда я не знаю может вы меня хотите или чтоо вы симпатичная девушка мне нравитесь я просто не знаю как вам помочь,ксения ну вот правда я не знаю может вы меня хотите или что вы симпатичная девушка мне нравитесь я просто не знаю как вам помочь,ксения ну вот правда я не знаю может вы меня хотите или чтоо вы симпатичная девушка мне нравитесь я просто не знаю как вам помочь,ксения ну вот правда я не знаю может вы меня хотите или что вы симпатичная девушка мне нравитесь я просто не знаю как вам помочь,0.8672597499971744,7.48,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/0a/1bb4332ffe9b.wav,плохо слышно тя кот,плохо слышно тебя кот,плохо слышно тя кот,плохо слышно тебя кот,0.6953024580143392,1.09,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/4e/3529cd39a595.wav,прибыть в кабинет триста четырнадцать в девять ноль ноль,прибыть в кабинет триста четырнадцать девять ноль ноль,прибыть в кабинет триста четырнадцать в девять ноль ноль,прибыть в кабинет триста четырнадцать девять ноль ноль,0.7450776660116389,3.39,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/27/ea2ded5e0d34.wav,а что эт за загорский военкомат и что,а что звездогорский военкомат и что,а что эт за загорский военкомат и что,а что звездогорский военкомат и что,0.7197616249904968,1.95,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/14/fbf971acdf4d.wav,я те клянусь ты бы жил в красноярске я бы тя два раза убил пидор ты просто две жизни своих проговорил,я тебе клянусь ты бы шил в красноярске я бы тебя два раза убил пидор ты просто две жизни своих проговорил,я те клянусь ты бы жил в красноярске я бы тя два раза убил пидор ты просто две жизни своих проговорил,я тебе клянусь ты бы шил в красноярске я бы тебя два раза убил пидор ты просто две жизни своих проговорил,0.8129099159850739,5.36,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/4c/e04a3738f246.wav,я тебе пушечку принесу знаешь какая,я тебе пушечка принесу знаешь какая,я тебе пушечку принесу знаешь какая,я тебе пушечка принесу знаешь какая,0.7129458749841433,2.36,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/2d/f547f83f61cb.wav,не куда не звони,никуда не звони,не куда не звони,никуда не звони,0.6998898330202792,1.38,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/4/83/41b27df38f03.wav,я те блять такое устрою,я сейчас блять такое устрою,я те блять такое устрою,я сейчас блять такое устрою,0.7019009169889614,1.89,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/eb/067889ca9d88.wav,начальнику второго отделения,начальнику второго отделения,начальнику второго отделения,начальнику второго отделения,0.7148527909885161,2.45,
