path,text,char_len,n_tokens,n_fillers,filler_ratio,n_latin_tokens
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/34/cfd21b675403.wav,ой как приятно,14,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/2a/58394d8ed0bc.wav,потому что мы живём в христианской цивилизации,46,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/11/5db8107385c6.wav,имеем доступы в различные места,31,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/de/2692e157a910.wav,нее не обязательно должны служиить к ним там при при разводе к примеру ребёнок обязательно остаётся с матерью и так далее и так позиция неравная а вот этими своими действиями вы как бы ещё больше эту ситуацию пытаетесь склонить в сторону матриархата,249,42,1,0.0238,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/4/ca/6318b97515e5.wav,с нами два замечательных товарища которые приехали из замечательного города,75,10,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/fb/7965b4e196e2.wav,я тебе работу твою устрою,25,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/50/62646a2e4998.wav,ды что вы я вообще матом никогда не ругаюсь,43,9,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/82/33c15e88cb6b.wav,вы не осознанно делаете мне большую рекламу,43,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/39/00d804a561f8.wav,нет подполковник,16,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/7b/bd20c9573e3a.wav,вот найди себе подружку и разговаривай,38,6,1,0.1667,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/d3/659e7661ffc3.wav,завидую что тебе звоню каждый день,34,6,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/f3/0dfe9cff22c7.wav,хорошо я тебя жду давай,23,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/cb/f327b840f422.wav,аллам клянусь клянусь аллахом если вот этот номер ты не выключишь я на красной площади тебя на колени поставлю,110,19,1,0.0526,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/6b/cc04a258ae07.wav,хорошо запишут нас,18,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/2e/372a5ead47d3.wav,слышь кто ты есть хуйлоо,24,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/b/cf/10e1ce07b5e1.wav,хорошо,6,1,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/78/3e9355dd22a1.wav,я те блять женюсь гомик ёбаный,30,6,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/35/6bb9f0c592c9.wav,ну здравствуйте а я сторож ааа слуцевского военкомата,53,8,2,0.25,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/df/07605ec2bd8e.wav,да хуй блять в сраку больше ничего,34,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/5f/eff7d9b345c5.wav,я завтра разберусь с тобой,26,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/e9/9766fcac9185.wav,просто вот музыка дала сегодня ночью,36,6,1,0.1667,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/fc/496ad9b949c1.wav,вот подъедь сюда и точно ты пиздюлину то получишь,49,9,1,0.1111,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/43/7b98c3343650.wav,куда триста четырнадцатый,25,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/2a/edab1bc9ec49.wav,что дальше,10,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/b0/18a089cad61e.wav,ну и что эээ религия пытается,29,6,2,0.3333,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/f3/c8e22b1fd97b.wav,так и буде там и бабуля такая же,32,8,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/d7/eddb7db7f380.wav,в интернете,11,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/79/4ab3ef899321.wav,вы баянова не знаете,20,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/04/322c37e36137.wav,бери такси я заплачу,20,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/b/84/85a7ae664e38.wav,как у вас сегодня женщин нету почемуто,38,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/87/6e40162eda94.wav,тридцать четвёртый кабинет в понедельник,40,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/85/2c67920cb59d.wav,бля короче я тя воще не понял,29,7,1,0.1429,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/2d/2010e4dcc021.wav,опять ты придурок с чем тебя поздравлять,40,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/7b/cc37ce0ab513.wav,давай короче телефон бацай,26,4,1,0.25,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/29/1e6b38afa18f.wav,страной провокаторы кому деньги платятся и так далее,52,8,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/57/1f7dcf98fe2e.wav,найди залупоглазый прыщ,23,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/66/21ed9378b277.wav,знаете что,10,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/15/d909fcdb7478.wav,ну вот она просто уже выпила такая вся ну не в себе,51,12,3,0.25,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/ce/c890f7d98194.wav,блин ты научись разговаривать сначала а,39,6,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/49/ae1721e60625.wav,сейчас в милицию позвоню честное слово,38,6,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/f6/33c0cce9bdcb.wav,государство ещё и доплачивает им как я понимаю,46,8,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/6/29/afee45604a0d.wav,это начальнику вашего отделения,31,4,1,0.25,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/d/6e/6063bf70875a.wav,поезд москва тында тында москва,31,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/4/f3/1dcd172592df.wav,ответят вам щас щас я вас соединю щас,37,8,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/45/cd86c6bc3f93.wav,ну записал ты там,17,4,1,0.25,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/62/6c26f1edcaaa.wav,неет дом колотушкина,20,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/85/81c5b7f96cf9.wav,сорок два девяносто шесть сорок шесть,37,6,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/d7/b0c497837e19.wav,я никогда срывайся прерывайся ещё,33,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/31/b88550fb606a.wav,твоего сына да что ль,21,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/13/6337a810ef6a.wav,паровозик тыр,13,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/27/de63e0d12634.wav,вот это является потом ориентиром,33,5,2,0.4,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/7b/84ff1f6190aa.wav,ладно пока,10,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/a6/653e7706acbe.wav,ксения ну вот правда я не знаю может вы меня хотите или чтоо вы симпатичная девушка мне нравитесь я просто не знаю как вам помочь,129,25,2,0.08,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/0a/1bb4332ffe9b.wav,плохо слышно тя кот,19,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/4e/3529cd39a595.wav,прибыть в кабинет триста четырнадцать в девять ноль ноль,56,9,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/27/ea2ded5e0d34.wav,а что эт за загорский военкомат и что,37,8,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/14/fbf971acdf4d.wav,я те клянусь ты бы жил в красноярске я бы тя два раза убил пидор ты просто две жизни своих проговорил,101,21,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/4c/e04a3738f246.wav,я тебе пушечку принесу знаешь какая,35,6,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/2d/f547f83f61cb.wav,не куда не звони,16,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/4/83/41b27df38f03.wav,я те блять такое устрою,23,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/eb/067889ca9d88.wav,начальнику второго отделения,28,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/4/a6/284ce6af4eec.wav,я в гости зашёл чай попил,25,6,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/07/059428872f42.wav,ты чё сука такая блять буш,26,6,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/44/ddc1fd822c18.wav,ну ты же знаешь где октябрьский комиссариат,43,7,1,0.1429,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/c3/049790c23268.wav,кому дать трубку блядь,22,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/a1/cd9e2e53571f.wav,психушки что ли вы,18,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/8a/e0741460fa7a.wav,это кто говорит,15,3,1,0.3333,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/6/fe/c5cfc126acd1.wav,куда в триста четырнадцатый кабинет,35,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/e0/c51d93c964bf.wav,отдел вэкэмэо по городскому округу город бор дежурный баранова,62,9,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/42/108c062c490c.wav,которые меня поддерживают,25,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/a4/b85b33332426.wav,полные прибудем все прибудем,28,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/56/f9d1c963cba2.wav,вот вас заело,13,3,1,0.3333,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/17/b7d09fecc0e8.wav,звонить вам,11,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/41/101acde1bb08.wav,я ей звонил я эээ команду никакую не давал,42,9,1,0.1111,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/28/17b6ec0e29f1.wav,ты говори или это самое не молчи,32,7,1,0.1429,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/4/e2/9782121d2257.wav,вот сейчас сопоставь эти факты,30,5,1,0.2,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/58/cbfc5330f95f.wav,позвони мне с московского телефона если есть вопросы приезжай на кутузовский в любой день блядь,95,15,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/ef/e0fb16905be4.wav,даев переулок дом тринадцать,28,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/f1/48d22344a1a3.wav,понедельник к к девяти часам прийти куда прийтито,49,8,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/cf/0b05c9c85bc4.wav,мне жалко мой автомобиль,24,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/4/34/fd63caf72c2e.wav,слышь я твою маму ебал,22,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/85/0fd59327421a.wav,я вас спрашиваю,15,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/7f/95513d871891.wav,какой военкомат,15,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/98/508e8dc7fbbd.wav,начальнику второго отделения прибыть в триста четырнадцать кабинет,66,8,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/b3/2fdb76629b11.wav,ну расскажи как ты делаешь вот на коленки становишься перед тимати и делаешь ему защеканочку,92,15,2,0.1333,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/53/f61c050f30cf.wav,написать ты чё сразу,20,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/8c/86048160a61e.wav,вообще безобразие помню я давно прошу его удали клонов удали клонов чё они пишут от моего имени вводят в ответное заблуждение,125,21,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/e1/824bdf88f90a.wav,на праздники,12,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/f2/3ae0cdd838ba.wav,девяносто первого года,22,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/6f/fed8e21a46be.wav,девчонками я не поеду,21,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/6f/a77a70041f06.wav,добрый добрый кто,17,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/c8/6a23f1c6a758.wav,тебя родной найду,17,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/61/86d11d8aab33.wav,я военный,9,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/f6/f6a19cf4f453.wav,хорошо,6,1,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/1e/853b30250560.wav,и лично мне говоришь,20,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/d1/640bd00c7bbc.wav,я вас слышу слышу что вы хотели,31,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/9b/939e8ebf353b.wav,вы то кто вы то ооткуда звоните,31,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/6/5b/f2b889e8ab51.wav,у меня мааленькая пенсия,24,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/75/8508bb1ed9c1.wav,конечно,7,1,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/6f/8c09c12dc2b3.wav,учился разговаривать,20,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/da/ab12582299b3.wav,представился рыбаковым,22,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/5d/b54ad2a97def.wav,именно что ты задал несколько вопросов,38,6,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/be/18f484ab0760.wav,это дядь коля,13,3,1,0.3333,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/38/614ea39b0dea.wav,это же естественный биологический процесс,41,5,1,0.2,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/fb/eed3f1f81cee.wav,вот я думаю сейчас потерянных пакетов не будет,46,8,1,0.125,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/d/25/8551bdca7fb0.wav,это хулиганка чистая,20,3,1,0.3333,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/7d/2a77063901d7.wav,все разговоры с оператором записываются,39,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/b/a5/452efe857e22.wav,начальник второго отделения в понедельник прибыть в триста четырнадцатый кабинет лермонтого тридцать восемь,107,13,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/f1/cbbb21ff3768.wav,объясняет то есть понимаешь этот человек,40,6,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/5c/bf4664367aaf.wav,и деньги вмазывать туда,23,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/d/88/2de4dbfedfee.wav,вы голубой,10,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/e0/04849f9a2e8f.wav,в общем давайте так мы поговорим с вами немножко хватит а то у меня вдруг в какието звонки,90,18,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/49/c3d6e0fcde69.wav,обзывай как хочешь,18,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/3e/64d0ea975bd5.wav,а у меня тока девяносто девять каналов,38,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/80/b9cfd6b13129.wav,четвёртый кабинет прибыть,25,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/6/d5/e8b1e8828fea.wav,хорошо записано,15,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/b9/aaa857ce3d5f.wav,чё даль,7,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/c5/38dfc8a9c5e1.wav,друг его,8,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/84/e7d63dfef8df.wav,да и не только ваша всех корректорских агентств она уёбищная кривая то есть её делал криворукий пидорас,103,17,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/4b/d7f6c0c072c0.wav,хорошо слышу,12,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/ed/7e6278205ca7.wav,чё красиво ну чё красиво я не хочу чтоб было красиво я хочу шоб произвести фурор ты не понимаешь,96,19,1,0.0526,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/a7/1a1e2255cb49.wav,тока оттуда откинулся господи скока можно уже,45,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/b/06/e236e74d6760.wav,в сенях ясно,12,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/6e/19a2c6f71916.wav,прогнулся и готов,17,3,0,0.0,0
